Username,Type ,Serena's classification,,who is scraping ,Verified by,Reason,verification notes,Scraping notes,"Tertiary Annotation: Type 1 = fake seller, Type 0 = established seller, Type 2 = new seller",,,,,,,,,,,,,,,,
supremefj94,,0,,Bofei,Esther,,,,0,,,,,,,,,,,,,,,,
skinfurther,,1,,Bofei,Esther,"many negative reviews, never received items",,,1,,,,,,,,,,,,,,,,
gothmfswag,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
acevintageoutpost,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
codylee1337,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
homeless_vtg,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
b707vintage,,1,,Bofei,Esther,,,,1,,,,,,,,,,,,,,,,
aidxnbxdley,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
bam01,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
215winny,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
majorityruleclothes,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
vtguni,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
onseam,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
camphalfblood,,1,,Bofei,Esther,unsure,,,1,,,,,,,,,,,,,,,,
cheweyap,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
revivalstudios,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
snyder_lucy,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
clothesfromo,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
rileydowns06,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
idprollypass,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
mmuenz54,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
raggarments,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
vntggarden,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
portcitywordrobe,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
jacob4ney18,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
sstvintage,,1,,Bofei,,unsure,,,1,,,,,,,,,,,,,,,,
alexyee,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
brentsells,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
larryp20,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
jussvintage_,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
steadyp,,0,,Bofei,,,,,0,,,,,,,,,,,,,,,,
mcua,,0,,Bofei,,,,,2,,,,,,,,,,,,,,,,
